product_id,product_name,category,subcategory,unit_price,supplier
P001,Wireless Mouse,Electronics,Electronics,99.51,TechCorp
P002,Mechanical Keyboard,Electronics,Electronics,113.81,GlobalGoods
P003,USB-C Hub,Electronics,Electronics,41.24,TechCorp
P004,Webcam,Electronics,Electronics,104.73,QuickShip
P005,Monitor Stand,Electronics,Electronics,22.16,MegaDist
P006,Cotton T-Shirt,Clothing,Clothing,14.44,TechCorp
P007,Denim Jacket,Clothing,Clothing,40.6,QuickShip
P008,Running Shoes,Clothing,Clothing,94.27,QuickShip
P009,Wool Scarf,Clothing,Clothing,37.83,QuickShip
P010,Baseball Cap,Clothing,Clothing,68.72,MegaDist
P011,Ceramic Mug,Home & Kitchen,Home,92.49,TechCorp
P012,Cutting Board,Home & Kitchen,Home,116.22,GlobalGoods
P013,French Press,Home & Kitchen,Home,107.73,PrimeSup
P014,Dish Towel Set,Home & Kitchen,Home,48.89,GlobalGoods
P015,Spice Rack,Home & Kitchen,Home,144.0,PrimeSup
P016,Python Cookbook,Books,Books,24.3,MegaDist
P017,Data Engineering Guide,Books,Books,23.53,PrimeSup
P018,SQL Performance,Books,Books,94.51,TechCorp
P019,Clean Architecture,Books,Books,112.15,QuickShip
P020,Design Patterns,Books,Books,27.47,MegaDist
P021,Yoga Mat,Sports,Sports,21.02,PrimeSup
P022,Resistance Bands,Sports,Sports,126.11,QuickShip
P023,Jump Rope,Sports,Sports,133.95,PrimeSup
P024,Water Bottle,Sports,Sports,90.82,TechCorp
P025,Foam Roller,Sports,Sports,16.41,GlobalGoods
